NOMESCUOLA,DESCRIZIONECOMUNE,CODICESCUOLA,INDIRIZZO,LATITUDINE,LONGITUDINE,SITOWEB,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,CODICEISTITUTORIFERIMENTO,CAPSCUOLA
I.S. I. CALVINO,GENOVA,GEIS01400Q,VIA BORZOLI 21,44.4318815,8.8623698,http://www.calvino.ge.it,ISTITUTO SUPERIORE,GEIS01400Q,16153
I.C. STAGLIENO,GENOVA,GEEE824029,VIA MOGADISCIO 67,44.436023600000006,8.9678776,http://www.icstagliano.it,SCUOLA PRIMARIA,GEIC824006,16141
I.S. I. CALVINO,GENOVA,GETF014018,VIA BORZOLI 21,44.4318815,8.8623698,http://www.calvino.ge.it,ISTITUTO TECNICO INDUSTRIALE,GEIS01400Q,16153
I.C. PEGLI,GENOVA,GEAA85002L,VIA CIALLI 9,44.425985700000005,8.821342300000001,http://www.istitutocomprensivopegli.gov.it,SCUOLA INFANZIA,GEIC85000P,16155
I.C. STAGLIENO,GENOVA,GEAA824035,VIA TERPI 24,44.4391065,8.966494500000001,http://www.icstaglieno.it,SCUOLA INFANZIA,GEIC824006,16141
LAS PAUL KLEE-NICOLO' BARABINO,GENOVA,GESL010504,SALITA DELLE BATTISTINE 10,44.411505,8.9353382,http://www.liceokleebarabino.it,LICEO ARTISTICO,GESL01000P,16122
I.C. STAGLIENO,GENOVA,GEAA824024,VIA DELLA PIGNA 11,44.432018,8.956716199999999,http://www.icstaglieno.it,SCUOLA INFANZIA,GEIC824006,16138
IS VITTORIO EMANUELE II-RUFFINI,GENOVA,GERC00603T,PIAZZALE MARASSI 2,44.41797879999999,8.9490606,http://www.vittorioemanueleruffini.it,IST PROF PER I SERVIZI COMMERCIALI,GEIS00600R,16139
I.C. VOLTRI II,GENOVA,GEEE834042,VIA MARTIRI DEL TURCHINO 40,44.435428200000004,8.762264991662612,http://icvoltri2.it,SCUOLA PRIMARIA,GEIC83400R,16157
I.C. VOLTRI II,GENOVA,GEEE834031,VIA MARTIRI DEL TURCHINO 99,44.433834000000004,8.7644062,http://icvoltri2.it,SCUOLA PRIMARIA,GEIC83400R,16157
I.C. VOLTRI II,GENOVA,GEAA83401N,VIA MARTIRI DEL TURCHINO 99,44.433834000000004,8.7644062,http://icvoltri2.it,SCUOLA INFANZIA,GEIC83400R,16157
I.C. SAN GOTTARDO,GENOVA,GEIC809004,VIA GIULIA DE VINCENZI 26,44.450708299999995,8.971210000000001,,ISTITUTO COMPRENSIVO,GEIC809004,16138
I.C. QUEZZI,GENOVA,GEEE833035,VIA FRATELLI CERVI 1,44.421486,8.9607837,http://www.icquezzi.gov.it,SCUOLA PRIMARIA,GEIC833001,16142
I.C. SAN GOTTARDO,GENOVA,GEAA809022,VIA PIACENZA 2527,44.448135799999996,8.969608099999999,http://www.icgsg.gov.it,SCUOLA INFANZIA,GEIC809004,16138
I.C. QUEZZI,GENOVA,GEAA83301T,VIA GINESTRATO 11,44.420442,8.9736832,http://www.icquezzi.gov.it,SCUOLA INFANZIA,GEIC833001,16100
IPSSA M.POLO,GENOVA,GERH01000G,VIA SCIACCALUGA ,44.4305178,8.9517085,http://www.marcopolo.gov.it,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE,GERH01000G,16147
I.C. QUINTO/NERVI,GENOVA,GEMM86301T,VIA ANTICA ROMANA DI QUINTO 63 B,44.389448,9.012402400000001,http://www.icquintonervi.gov.it,SCUOLA PRIMO GRADO,GEIC86300R,16166
CPIA CENTRO LEVANTE,GENOVA,GEMM18500G,VICO VEGETTI 2,44.4060673,8.930733199999999,http://http//www.convittocolombo.gov.it,SCUOLA PRIMO GRADO,GEMM18500G,16123
I.C. OREGINA,GENOVA,GEIC811004,SALITA OREGINA 40,44.4216101,8.923364999999999,,ISTITUTO COMPRENSIVO,GEIC811004,16134
I.I.S. E. MONTALE-NUOVO I.P.C,GENOVA,GETD00301G,VIA TIMAVO 63,44.4032752,8.9839966,http://www.iscsmontalegenova.gov.it/,ISTITUTO TECNICO COMMERCIALE,GEIS003009,16132
I.C. QUINTO/NERVI,GENOVA,GEAA86301N,VIA DEL COMMERCIO 82A,44.388403000000004,9.034343699999999,http://www.icquintonervi.gov.it,SCUOLA INFANZIA,GEIC86300R,16167
I.C. MOLASSANA E PRATO,GENOVA,GEEE82704V,VIA STRUPPA 148,44.4478076,9.0021766,http://www.icmolassana.gov.it,SCUOLA PRIMARIA,GEIC82700N,16165
CPIA CENTRO LEVANTE,GENOVA,GEMM704015,PIAZZALE MARASSI 2,44.41797879999999,8.9490606,,SCUOLA PRIMO GRADO,GEMM18500G,16139
I.I.S. E. MONTALE-NUOVO I.P.C,GENOVA,GERC003018,VIA TIMAVO 63,44.4032752,8.9839966,http://www.iscsmontalegenova.gov.it,IST PROF PER I SERVIZI COMMERCIALI,GEIS003009,16132
I.C.BURLANDO,GENOVA,GEIC829009,VIA MONTALDO 61,44.4145318,8.949294199999999,,ISTITUTO COMPRENSIVO,GEIC829009,16137
I.C.PRA',GENOVA,GEEE83503R,VIA VILLINI NEGRONE 2/ C,44.4281888,8.7856438,http://www.icpra.gov.it,SCUOLA PRIMARIA,GEIC83500L,16157
I.C. MOLASSANA E PRATO,GENOVA,GEMM82701P,VIA SAN FELICE 19,44.4562054,8.982545199999999,http://www.icmolassana.gov.it,SCUOLA PRIMO GRADO,GEIC82700N,16138
I.C. PONTEDECIMO,GENOVA,GEMM816018,PIAZZA CESARE CELLINI 4,44.4972152,8.9015987,http://www.icpontedecimo.gov.it,SCUOLA PRIMO GRADO,GEIC816007,16164
CPIA CENTRO LEVANTE,GENOVA,GEEE704016,PIAZZALE MARASSI 2,44.41797879999999,8.9490606,http://www.lucacambiaso.it,SCUOLA PRIMARIA,GEMM18500G,16139
I.C. QUINTO/NERVI,GENOVA,GEEE86302X,PIAZZA DUCA DEGLI ABRUZZI 6 A,44.385208299999995,9.0355446,http://www.icquintonervi.gov.it,SCUOLA PRIMARIA,GEIC86300R,16167
I.C.PRA',GENOVA,GEEE83501P,VIA BRANEGA 10,44.43073955,8.777456344532059,http://www.icpra.gov.it,SCUOLA PRIMARIA,GEIC83500L,16157
I.C. MOLASSANA E PRATO,GENOVA,GEEE82703T,VIA RIO MAGGIORE 1 B,44.4642817,8.9766731,http://www.icmolassana.gov.it,SCUOLA PRIMARIA,GEIC82700N,16138
I.C. PONTEDECIMO,GENOVA,GEIC816007,VIA ISOCORTE 1 B,44.4925469,8.9025079,,ISTITUTO COMPRENSIVO,GEIC816007,16164
CPIA CENTRO LEVANTE,GENOVA,GECT703002,VIA FIESCHI 14,44.4039399,8.9361352,,CENTRO TERRITORIALE,GEMM18500G,16121
I.C. OREGINA,GENOVA,GEMM811015,SALITA OREGINA 40,44.4216101,8.923364999999999,http://www.icoregina.gov.it,SCUOLA PRIMO GRADO,GEIC811004,16134
